标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
合景天汇广场 10楼左右 89平 三房 全新未入住,82,"
                    9118
                ",合景天汇广场,良庆,3,89.94,南北,2017,"[' ', '南北', '近地铁', '车位充足']"
豪装3房 仅售125万 中间楼层 南宁三中 实验一小,125,"
                    12454
                ",华润二十四城,良庆,3,100.37,东北,2015,"[' ', '东北', '满五年', '近地铁']"
凤岭北电梯精装3房2卫，7 长阳台，新民中,106,"
                    9218
                ",凤岭名园,青秀,3,115,南,2012,"[' ', '南', '满五年', '近地铁', '多人关注']"
华润万象华府生活配套成熟，华润品质,160,"
                    12308
                ",华润万象华府,西乡塘,4,130,南,2022,"[' ', '南', '热门小区', '南北通透', '房东急售']"
玫瑰园 3房2厅56万,56,"
                    6022
                ",玫瑰园,江南,3,93,南北,2012,"[' ', '南北', '满二年', '近地铁', '多人关注']"
万达茂商圈，7字头高端住宅盘，准现房,117,"
                    11038
                ",中交象江来(新房),邕宁,3,106,北,,"[' ', '南北通透', '厨卫全明', '双卫生间', '购物中心']"
1号线 高新 旁 康桥蓝湾 3房出门就是公园和地铁,57,"
                    6920
                ",康桥蓝湾,西乡塘,3,82.37,南,2006,"[' ', '南', '房东直卖', '满五年', '近地铁']"
滨湖路 埌东十四 电网宿舍小区 南北通透 大4房 随时看,190,"
                    14616
                ",广西电网公司埌东生活区,青秀,4,130,南北,1999,"[' ', '南北', '满五年', '近地铁']"
送隔板！19万得2房！地铁现房！5.09高物业1.8！,19,"
                    6865
                ",海吉星星座广场公寓,江南,2,27.68,南,,"[' ', '南北通透', '轨交房']"
华润二十四城 3房2厅95万,95,"
                    10687
                ",华润二十四城,良庆,3,88.9,南,2018,"[' ', '南', '房东直卖', '满二年', '近地铁']"
荣和大地二组团阳光里 精装修 商业配套成熟 正南朝向,138,"
                    12000
                ",荣和大地二组团阳光里,青秀,4,115,南,2011,"[' ', '南', '满五年', '车位充足']"
南宁荣和千千树 高层南北通透 翠竹 和中学 价钱可谈,159,"
                    13141
                ",荣和千千树,青秀,4,121,南北,2016,"[' ', '南北', '满五年']"
各付各费，中高楼层朝南，荣和千千树精装四房，正常首付,133,"
                    14466
                ",荣和千千树,青秀,4,91.94,南,2016,"[' ', '南', '满五年']"
荣和大地 满两年 4室 南北通透 精装 诚心出售 价格可议,121,"
                    13596
                ",荣和大地二组团阳光里,青秀,4,89,南北,2018,"[' ', '南北', '满二年', '车位充足']"
南宁万科金域中央5房2厅精装,158,"
                    11049
                ",万科金域中央,良庆,5,143,南,2018,"[' ', '南', '满二年', '近地铁', '车位充足']"
